ticker,date,pivot,label,gap_pct
189860_서전기전_KOSDAQ,2021-04-05,4690.0,0,0.0
189860_서전기전_KOSDAQ,2021-05-11,5480.0,0,0.0
189860_서전기전_KOSDAQ,2021-07-06,7770.0,1,0.0
189860_서전기전_KOSDAQ,2021-08-05,13850.0,0,0.0036
189860_서전기전_KOSDAQ,2021-09-02,14300.0,1,0.0
189860_서전기전_KOSDAQ,2021-09-15,16650.0,0,0.0
294870_HDC현대산업개발_KOSPI,2021-01-19,29000.0,0,0.0
294870_HDC현대산업개발_KOSPI,2021-02-04,32100.0,0,0.0
294870_HDC현대산업개발_KOSPI,2024-02-07,18300.0,0,0.0
294870_HDC현대산업개발_KOSPI,2024-07-29,21950.0,0,0.0
294870_HDC현대산업개발_KOSPI,2024-08-21,24600.0,0,0.0
080530_코디_KOSDAQ,2021-06-15,2375.0,0,0.0
080530_코디_KOSDAQ,2024-03-29,3130.0,0,0.0
267320_나인테크_KOSDAQ,2023-07-14,4085.0,0,0.0
267320_나인테크_KOSDAQ,2025-06-24,4480.0,0,0.0
037440_희림_KOSDAQ,2021-03-25,4560.0,1,0.0
037440_희림_KOSDAQ,2021-04-20,6350.0,1,0.0
037440_희림_KOSDAQ,2021-06-02,11100.0,0,0.0
037440_희림_KOSDAQ,2022-09-02,10400.0,0,0.0
222160_NPX_KOSDAQ,2021-05-28,5900.0,1,0.0169
293940_신한알파리츠_KOSPI,2021-03-26,7373.0,0,0.0
293940_신한알파리츠_KOSPI,2021-05-27,8083.0,0,0.0
312610_에이에프더블류_KOSDAQ,2021-01-21,10125.0,1,0.0
312610_에이에프더블류_KOSDAQ,2021-02-17,13750.0,0,0.0
312610_에이에프더블류_KOSDAQ,2023-04-24,4950.0,1,0.0
036540_SFA반도체_KOSDAQ,2021-02-15,8300.0,1,0.0
036540_SFA반도체_KOSDAQ,2024-01-04,6970.0,0,0.0
009070_KCTC_KOSPI,2024-06-25,5390.0,0,0.0
298380_에이비엘바이오_KOSDAQ,2024-07-30,31000.0,0,0.0
298380_에이비엘바이오_KOSDAQ,2024-08-20,32350.0,0,0.0
298380_에이비엘바이오_KOSDAQ,2025-02-18,43300.0,0,0.0
298380_에이비엘바이오_KOSDAQ,2025-05-27,74100.0,0,0.0
298380_에이비엘바이오_KOSDAQ,2025-07-24,84000.0,0,0.0
298380_에이비엘바이오_KOSDAQ,2025-08-26,93900.0,0,0.0
298380_에이비엘바이오_KOSDAQ,2025-09-19,107300.0,0,0.0
298380_에이비엘바이오_KOSDAQ,2025-11-04,112300.0,0,0.0
008700_아남전자_KOSPI,2022-08-04,2885.0,0,0.0225
200710_에이디테크놀로지_KOSDAQ,2023-07-19,26650.0,0,0.0
200710_에이디테크놀로지_KOSDAQ,2023-12-22,30150.0,0,0.0
200710_에이디테크놀로지_KOSDAQ,2025-07-17,23000.0,0,0.0239
200710_에이디테크놀로지_KOSDAQ,2025-07-28,24650.0,0,0.0
200710_에이디테크놀로지_KOSDAQ,2025-09-18,27800.0,0,0.0
200710_에이디테크놀로지_KOSDAQ,2025-10-14,29350.0,0,0.0051
001340_PKC_KOSPI,2021-03-11,5589.0,1,0.0
001340_PKC_KOSPI,2021-04-05,6044.0,0,0.0
001340_PKC_KOSPI,2021-05-31,6861.0,1,0.0
001340_PKC_KOSPI,2023-04-17,6744.0,1,0.0
001340_PKC_KOSPI,2023-05-26,9007.0,1,0.0
000120_CJ대한통운_KOSPI,2023-12-20,125200.0,0,0.0
000120_CJ대한통운_KOSPI,2024-01-10,131400.0,0,0.0
000120_CJ대한통운_KOSPI,2024-01-26,136500.0,0,0.0
222040_코스맥스엔비티_KOSDAQ,2023-06-19,5730.0,0,0.0
222040_코스맥스엔비티_KOSDAQ,2023-06-23,5730.0,0,0.0
222040_코스맥스엔비티_KOSDAQ,2024-01-05,7100.0,0,0.0
222040_코스맥스엔비티_KOSDAQ,2024-01-23,7250.0,0,0.0
003300_한일홀딩스_KOSPI,2021-04-20,12363.0,0,0.0
003300_한일홀딩스_KOSPI,2021-05-10,13534.0,0,0.0
003300_한일홀딩스_KOSPI,2024-06-05,13950.0,0,0.0
003300_한일홀딩스_KOSPI,2024-12-04,14570.0,0,0.0
003300_한일홀딩스_KOSPI,2025-08-12,19700.0,0,0.0
035250_강원랜드_KOSPI,2021-10-05,29550.0,0,0.0
071090_하이스틸_KOSPI,2021-01-21,2030.0,0,0.0
071090_하이스틸_KOSPI,2021-02-09,2070.0,1,0.0
071090_하이스틸_KOSPI,2021-02-19,2185.0,1,0.0
071090_하이스틸_KOSPI,2021-04-05,3089.0,0,0.0
071090_하이스틸_KOSPI,2021-04-27,3100.0,1,0.0
071090_하이스틸_KOSPI,2025-07-16,5400.0,0,0.0
217730_강스템바이오텍_KOSDAQ,2024-05-31,2660.0,0,0.0
007690_국도화학_KOSPI,2021-07-23,72819.0,1,0.0
009470_삼화전기_KOSPI,2021-01-26,26600.0,0,0.0
009470_삼화전기_KOSPI,2021-04-26,33100.0,0,0.0
009470_삼화전기_KOSPI,2021-05-18,37300.0,0,0.0
009470_삼화전기_KOSPI,2024-04-24,44700.0,1,0.0
009470_삼화전기_KOSPI,2024-06-11,84500.0,0,0.0
036930_주성엔지니어링_KOSDAQ,2021-01-14,8940.0,1,0.0
036930_주성엔지니어링_KOSDAQ,2021-02-04,10750.0,0,0.0
036930_주성엔지니어링_KOSDAQ,2021-04-12,11950.0,1,0.0
036930_주성엔지니어링_KOSDAQ,2021-05-27,15100.0,0,0.0
036930_주성엔지니어링_KOSDAQ,2021-06-23,15500.0,0,0.0
036930_주성엔지니어링_KOSDAQ,2021-12-22,20950.0,0,0.0
036930_주성엔지니어링_KOSDAQ,2022-01-14,22600.0,0,0.0
036930_주성엔지니어링_KOSDAQ,2022-02-25,24100.0,0,0.0
036930_주성엔지니어링_KOSDAQ,2023-07-17,20100.0,1,0.0
036930_주성엔지니어링_KOSDAQ,2023-09-14,29900.0,0,0.0
036930_주성엔지니어링_KOSDAQ,2024-04-08,40750.0,0,0.0
200470_에이팩트_KOSDAQ,2021-07-16,5310.0,0,0.0
200470_에이팩트_KOSDAQ,2021-09-17,5846.0,0,0.0
200470_에이팩트_KOSDAQ,2024-03-28,6060.0,0,0.0
200470_에이팩트_KOSDAQ,2024-06-04,6880.0,0,0.0
200470_에이팩트_KOSDAQ,2025-10-01,4940.0,0,0.0
