ticker,name,market,industry_code,industry_name
051900,LG생활건강,KOSPI,20422,"치약, 비누 및 기타 세제 제조업"
064400,LG씨엔에스,KOSPI,62021,컴퓨터시스템 통합 자문 및 구축 서비스업
373220,LG에너지솔루션,KOSPI,28202,축전지 제조업
032640,LG유플러스,KOSPI,61220,무선 및 위성 통신업
011070,LG이노텍,KOSPI,262,전자부품 제조업
066570,LG전자,KOSPI,264,통신 및 방송 장비 제조업
037560,LG헬로비전,KOSPI,60222,유선 방송업
051910,LG화학,KOSPI,20111,석유화학계 기초 화학물질 제조업
079550,LIG넥스원,KOSPI,25200,무기 및 총포탄 제조업
006260,LS,KOSPI,64992,지주회사
010120,LS ELECTRIC,KOSPI,28121,"전기회로 개폐, 보호장치 제조업"
000680,LS네트웍스,KOSPI,46800,상품 종합 도매업
229640,LS에코에너지,KOSPI,64992,지주회사
108320,LX세미콘,KOSPI,2612,"다이오드, 트랜지스터 및 유사 반도체소자 제조업"
001120,LX인터내셔널,KOSPI,4610,상품 중개업
108670,LX하우시스,KOSPI,2222,건축용 플라스틱제품 제조업
383800,LX홀딩스,KOSPI,64992,지주회사
023150,MH에탄올,KOSPI,11121,주정 제조업
035420,NAVER,KOSPI,63120,포털 및 기타 인터넷 정보매개 서비스업
181710,NHN,KOSPI,5821,게임 소프트웨어 개발 및 공급업
400760,NH올원리츠,KOSPI,6812,부동산 개발 및 공급업
005940,NH투자증권,KOSPI,66121,증권 중개업
338100,NH프라임리츠,KOSPI,681,부동산 임대 및 공급업
034310,NICE,KOSPI,715,회사 본부 및 경영 컨설팅 서비스업
030190,NICE평가정보,KOSPI,63991,데이터베이스 및 온라인정보 제공업
008260,NI스틸,KOSPI,2419,기타 1차 철강 제조업
004250,NPC,KOSPI,22232,포장용 플라스틱 성형용기 제조업
456040,OCI,KOSPI,20129,기타 기초 무기 화학물질 제조업
010060,OCI홀딩스,KOSPI,64992,지주회사
178920,PI첨단소재,KOSPI,2221,1차 플라스틱제품 제조업
001340,PKC,KOSPI,20131,무기안료용 금속 산화물 및 관련 제품 제조업
005490,POSCO홀딩스,KOSPI,2411,"제철, 제강 및 합금철 제조업"
010950,S-Oil,KOSPI,19210,원유 정제처리업
034120,SBS,KOSPI,60210,지상파 방송업
003080,SB성보,KOSPI,2032,살균․살충제 및 농약 제조업
005090,SGC에너지,KOSPI,351,전기업
001380,SG글로벌,KOSPI,303,자동차 신품 부품 제조업
004060,SG세계물산,KOSPI,46800,상품 종합 도매업
001770,SHD,KOSPI,24199,그 외 기타 1차 철강 제조업
002360,SH에너지화학,KOSPI,201,기초 화학물질 제조업
009160,SIMPAC,KOSPI,24113,합금철 제조업
033530,SJG세종,KOSPI,303,자동차 신품 부품 제조업
123700,SJM,KOSPI,303,자동차 신품 부품 제조업
025530,SJM홀딩스,KOSPI,452,자동차 부품 및 내장품 판매업
034730,SK,KOSPI,64992,지주회사
011790,SKC,KOSPI,204,기타 화학제품 제조업
018670,SK가스,KOSPI,46713,기체연료 및 관련제품 도매업
001740,SK네트웍스,KOSPI,467,기타 전문 도매업
006120,SK디스커버리,KOSPI,64992,지주회사
210980,SK디앤디,KOSPI,68122,비주거용 건물 개발 및 공급업
395400,SK리츠,KOSPI,68112,비주거용 건물 임대업
